review_id;appointment_id;rating;created_at
rev_1;appt_1561;3;02/01/2025
rev_2;appt_776;3;02/01/2025
rev_3;appt_991;2;02/01/2025
rev_4;appt_1429;1;02/01/2025
rev_5;appt_1538;3;02/01/2025
rev_6;appt_278;2;02/01/2025
rev_7;appt_840;4;02/01/2025
rev_8;appt_1879;3;02/01/2025
rev_9;appt_224;2;02/01/2025
rev_10;appt_1608;5;02/01/2025
rev_11;appt_1092;3;02/01/2025
rev_12;appt_1344;5;02/01/2025
rev_13;appt_606;3;02/01/2025
rev_14;appt_19;3;02/01/2025
rev_15;appt_640;5;02/01/2025
rev_16;appt_1367;1;02/01/2025
rev_17;appt_1618;2;02/01/2025
rev_18;appt_1790;1;02/01/2025
rev_19;appt_1973;1;02/01/2025
rev_20;appt_1757;2;02/01/2025
rev_21;appt_1367;4;02/01/2025
rev_22;appt_97;1;02/01/2025
rev_23;appt_1076;1;02/01/2025
rev_24;appt_175;1;02/01/2025
rev_25;appt_1362;4;02/01/2025
rev_26;appt_1718;3;02/01/2025
rev_27;appt_1964;5;02/01/2025
rev_28;appt_1377;5;02/01/2025
rev_29;appt_1415;4;02/01/2025
rev_30;appt_1139;1;02/01/2025
rev_31;appt_348;5;02/01/2025
rev_32;appt_1;4;02/01/2025
rev_33;appt_63;2;02/01/2025
rev_34;appt_1784;5;02/01/2025
rev_35;appt_1767;2;02/01/2025
rev_36;appt_226;1;02/01/2025
rev_37;appt_423;5;02/01/2025
rev_38;appt_1043;4;02/01/2025
rev_39;appt_31;3;02/01/2025
rev_40;appt_845;5;02/01/2025
rev_41;appt_633;5;02/01/2025
rev_42;appt_24;5;02/01/2025
rev_43;appt_837;5;02/01/2025
rev_44;appt_983;4;02/01/2025
rev_45;appt_1235;4;02/01/2025
rev_46;appt_1985;3;02/01/2025
rev_47;appt_161;4;02/01/2025
rev_48;appt_1279;4;02/01/2025
rev_49;appt_1595;1;02/01/2025
rev_50;appt_114;1;02/01/2025
rev_51;appt_504;2;02/01/2025
rev_52;appt_1953;3;02/01/2025
rev_53;appt_1696;1;02/01/2025
rev_54;appt_955;3;02/01/2025
rev_55;appt_1244;3;02/01/2025
rev_56;appt_357;5;02/01/2025
rev_57;appt_169;3;02/01/2025
rev_58;appt_1548;5;02/01/2025
rev_59;appt_969;2;02/01/2025
rev_60;appt_242;2;02/01/2025
rev_61;appt_1399;2;02/01/2025
rev_62;appt_139;5;02/01/2025
rev_63;appt_97;5;02/01/2025
rev_64;appt_147;2;02/01/2025
rev_65;appt_1206;5;02/01/2025
rev_66;appt_1081;4;02/01/2025
rev_67;appt_1066;4;02/01/2025
rev_68;appt_866;5;02/01/2025
rev_69;appt_1735;5;02/01/2025
rev_70;appt_543;1;02/01/2025
rev_71;appt_692;1;02/01/2025
rev_72;appt_1026;3;02/01/2025
rev_73;appt_1958;3;02/01/2025
rev_74;appt_1312;3;02/01/2025
rev_75;appt_1162;2;02/01/2025
rev_76;appt_1641;4;02/01/2025
rev_77;appt_1536;2;02/01/2025
rev_78;appt_904;5;02/01/2025
rev_79;appt_730;1;02/01/2025
rev_80;appt_1246;5;02/01/2025
rev_81;appt_331;5;02/01/2025
rev_82;appt_617;1;02/01/2025
rev_83;appt_404;5;02/01/2025
rev_84;appt_508;3;02/01/2025
rev_85;appt_1940;1;02/01/2025
rev_86;appt_1151;5;02/01/2025
rev_87;appt_1289;3;02/01/2025
rev_88;appt_1736;3;02/01/2025
rev_89;appt_1788;4;02/01/2025
rev_90;appt_1039;3;02/01/2025
rev_91;appt_226;2;02/01/2025
rev_92;appt_984;1;02/01/2025
rev_93;appt_865;1;02/01/2025
rev_94;appt_1129;1;02/01/2025
rev_95;appt_745;5;02/01/2025
rev_96;appt_493;5;02/01/2025
rev_97;appt_319;2;02/01/2025
rev_98;appt_1243;3;02/01/2025
rev_99;appt_1301;5;02/01/2025
rev_100;appt_773;3;02/01/2025
rev_101;appt_1917;3;02/01/2025
rev_102;appt_1955;5;02/01/2025
rev_103;appt_1365;5;02/01/2025
rev_104;appt_452;2;02/01/2025
rev_105;appt_1393;4;02/01/2025
rev_106;appt_944;1;02/01/2025
rev_107;appt_848;5;02/01/2025
rev_108;appt_1017;5;02/01/2025
rev_109;appt_1498;3;02/01/2025
rev_110;appt_1214;4;02/01/2025
rev_111;appt_884;5;02/01/2025
rev_112;appt_419;4;02/01/2025
rev_113;appt_1734;1;02/01/2025
rev_114;appt_865;3;02/01/2025
rev_115;appt_789;2;02/01/2025
rev_116;appt_1872;1;02/01/2025
rev_117;appt_495;4;02/01/2025
rev_118;appt_1063;4;02/01/2025
rev_119;appt_162;1;02/01/2025
rev_120;appt_121;4;02/01/2025
rev_121;appt_1916;2;02/01/2025
rev_122;appt_399;2;02/01/2025
rev_123;appt_1286;4;02/01/2025
rev_124;appt_1986;4;02/01/2025
rev_125;appt_728;2;02/01/2025
rev_126;appt_1848;4;02/01/2025
rev_127;appt_561;5;02/01/2025
rev_128;appt_604;3;02/01/2025
rev_129;appt_1153;5;02/01/2025
rev_130;appt_1857;4;02/01/2025
rev_131;appt_540;4;02/01/2025
rev_132;appt_356;3;02/01/2025
rev_133;appt_660;4;02/01/2025
rev_134;appt_432;3;02/01/2025
rev_135;appt_1864;2;02/01/2025
rev_136;appt_1089;3;02/01/2025
rev_137;appt_1242;3;02/01/2025
rev_138;appt_563;5;02/01/2025
rev_139;appt_1451;4;02/01/2025
rev_140;appt_817;2;02/01/2025
rev_141;appt_1945;1;02/01/2025
rev_142;appt_1098;3;02/01/2025
rev_143;appt_1484;1;02/01/2025
rev_144;appt_1449;4;02/01/2025
rev_145;appt_711;3;02/01/2025
rev_146;appt_1216;1;02/01/2025
rev_147;appt_1213;5;02/01/2025
rev_148;appt_12;1;02/01/2025
rev_149;appt_239;5;02/01/2025
rev_150;appt_1896;2;02/01/2025
rev_151;appt_1617;4;02/01/2025
rev_152;appt_453;1;02/01/2025
rev_153;appt_383;3;02/01/2025
rev_154;appt_782;4;02/01/2025
rev_155;appt_1826;1;02/01/2025
rev_156;appt_48;3;02/01/2025
rev_157;appt_317;3;02/01/2025
rev_158;appt_209;3;02/01/2025
rev_159;appt_1571;3;02/01/2025
rev_160;appt_1143;1;02/01/2025
rev_161;appt_577;2;02/01/2025
rev_162;appt_315;5;02/01/2025
rev_163;appt_754;5;02/01/2025
rev_164;appt_1060;5;02/01/2025
rev_165;appt_1487;2;02/01/2025
rev_166;appt_1788;3;02/01/2025
rev_167;appt_915;3;02/01/2025
rev_168;appt_755;4;02/01/2025
rev_169;appt_554;5;02/01/2025
rev_170;appt_1605;5;02/01/2025
rev_171;appt_403;3;02/01/2025
rev_172;appt_1131;5;02/01/2025
rev_173;appt_39;3;02/01/2025
rev_174;appt_581;3;02/01/2025
rev_175;appt_180;3;02/01/2025
rev_176;appt_12;1;02/01/2025
rev_177;appt_1363;1;02/01/2025
rev_178;appt_943;1;02/01/2025
rev_179;appt_1740;1;02/01/2025
rev_180;appt_548;2;02/01/2025
rev_181;appt_1150;4;02/01/2025
rev_182;appt_63;4;02/01/2025
rev_183;appt_844;3;02/01/2025
rev_184;appt_1106;5;02/01/2025
rev_185;appt_1009;1;02/01/2025
rev_186;appt_1843;4;02/01/2025
rev_187;appt_1323;4;02/01/2025
rev_188;appt_34;1;02/01/2025
rev_189;appt_752;2;02/01/2025
rev_190;appt_1633;2;02/01/2025
rev_191;appt_49;4;02/01/2025
rev_192;appt_658;2;02/01/2025
rev_193;appt_1661;1;02/01/2025
rev_194;appt_701;4;02/01/2025
rev_195;appt_1081;1;02/01/2025
rev_196;appt_1885;2;02/01/2025
rev_197;appt_109;1;02/01/2025
rev_198;appt_1541;2;02/01/2025
rev_199;appt_985;2;02/01/2025
rev_200;appt_24;1;02/01/2025
rev_201;appt_221;2;02/01/2025
rev_202;appt_1984;3;02/01/2025
rev_203;appt_315;1;02/01/2025
rev_204;appt_294;3;02/01/2025
rev_205;appt_1953;1;02/01/2025
rev_206;appt_1034;2;02/01/2025
rev_207;appt_1701;2;02/01/2025
rev_208;appt_1020;4;02/01/2025
rev_209;appt_1505;4;02/01/2025
rev_210;appt_1751;3;02/01/2025
rev_211;appt_1018;2;02/01/2025
rev_212;appt_638;4;02/01/2025
rev_213;appt_267;2;02/01/2025
rev_214;appt_1816;1;02/01/2025
rev_215;appt_88;4;02/01/2025
rev_216;appt_455;3;02/01/2025
rev_217;appt_1650;4;02/01/2025
rev_218;appt_1557;2;02/01/2025
rev_219;appt_1172;5;02/01/2025
rev_220;appt_757;5;02/01/2025
rev_221;appt_1802;2;02/01/2025
rev_222;appt_1753;1;02/01/2025
rev_223;appt_431;4;02/01/2025
rev_224;appt_1776;5;02/01/2025
rev_225;appt_1967;1;02/01/2025
rev_226;appt_911;2;02/01/2025
rev_227;appt_1964;1;02/01/2025
rev_228;appt_1768;2;02/01/2025
rev_229;appt_1768;4;02/01/2025
rev_230;appt_242;1;02/01/2025
rev_231;appt_702;4;02/01/2025
rev_232;appt_902;1;02/01/2025
rev_233;appt_741;2;02/01/2025
rev_234;appt_66;2;02/01/2025
rev_235;appt_972;1;02/01/2025
rev_236;appt_378;2;02/01/2025
rev_237;appt_388;3;02/01/2025
rev_238;appt_1815;3;02/01/2025
rev_239;appt_781;4;02/01/2025
rev_240;appt_209;3;02/01/2025
rev_241;appt_1439;3;02/01/2025
rev_242;appt_16;5;02/01/2025
rev_243;appt_1321;5;02/01/2025
rev_244;appt_986;5;02/01/2025
rev_245;appt_1244;5;02/01/2025
rev_246;appt_1793;2;02/01/2025
rev_247;appt_367;4;02/01/2025
rev_248;appt_780;4;02/01/2025
rev_249;appt_1253;3;02/01/2025
rev_250;appt_1655;4;02/01/2025
rev_251;appt_440;3;02/01/2025
rev_252;appt_690;4;02/01/2025
rev_253;appt_1556;1;02/01/2025
rev_254;appt_1474;1;02/01/2025
rev_255;appt_1060;4;02/01/2025
rev_256;appt_847;2;02/01/2025
rev_257;appt_422;3;02/01/2025
rev_258;appt_1942;4;02/01/2025
rev_259;appt_1644;3;02/01/2025
rev_260;appt_1213;5;02/01/2025
rev_261;appt_1202;4;02/01/2025
rev_262;appt_608;2;02/01/2025
rev_263;appt_1339;5;02/01/2025
rev_264;appt_20;4;02/01/2025
rev_265;appt_676;1;02/01/2025
rev_266;appt_382;4;02/01/2025
rev_267;appt_609;1;02/01/2025
rev_268;appt_143;1;02/01/2025
rev_269;appt_62;4;02/01/2025
rev_270;appt_1266;4;02/01/2025
rev_271;appt_238;1;02/01/2025
rev_272;appt_1155;3;02/01/2025
rev_273;appt_1629;5;02/01/2025
rev_274;appt_1627;2;02/01/2025
rev_275;appt_1669;4;02/01/2025
rev_276;appt_1147;5;02/01/2025
rev_277;appt_1464;5;02/01/2025
rev_278;appt_927;3;02/01/2025
rev_279;appt_342;5;02/01/2025
rev_280;appt_1443;4;02/01/2025
rev_281;appt_1654;5;02/01/2025
rev_282;appt_455;4;02/01/2025
rev_283;appt_1222;4;02/01/2025
rev_284;appt_282;1;02/01/2025
rev_285;appt_886;3;02/01/2025
rev_286;appt_1025;2;02/01/2025
rev_287;appt_723;1;02/01/2025
rev_288;appt_1799;2;02/01/2025
rev_289;appt_1956;4;02/01/2025
rev_290;appt_1356;1;02/01/2025
rev_291;appt_1236;5;02/01/2025
rev_292;appt_87;5;02/01/2025
rev_293;appt_665;2;02/01/2025
rev_294;appt_862;4;02/01/2025
rev_295;appt_1723;2;02/01/2025
rev_296;appt_61;3;02/01/2025
rev_297;appt_797;5;02/01/2025
rev_298;appt_95;1;02/01/2025
rev_299;appt_786;1;02/01/2025
rev_300;appt_1577;1;02/01/2025
rev_301;appt_1171;5;02/01/2025
rev_302;appt_1270;4;02/01/2025
rev_303;appt_1668;5;02/01/2025
rev_304;appt_961;5;02/01/2025
rev_305;appt_297;1;02/01/2025
rev_306;appt_1147;5;02/01/2025
rev_307;appt_1679;1;02/01/2025
rev_308;appt_694;4;02/01/2025
rev_309;appt_1728;3;02/01/2025
rev_310;appt_1480;1;02/01/2025
rev_311;appt_399;2;02/01/2025
rev_312;appt_1743;3;02/01/2025
rev_313;appt_946;4;02/01/2025
rev_314;appt_1255;3;02/01/2025
rev_315;appt_534;1;02/01/2025
rev_316;appt_402;4;02/01/2025
rev_317;appt_1616;2;02/01/2025
rev_318;appt_130;1;02/01/2025
rev_319;appt_292;1;02/01/2025
rev_320;appt_276;4;02/01/2025
rev_321;appt_912;4;02/01/2025
rev_322;appt_1859;3;02/01/2025
rev_323;appt_1400;2;02/01/2025
rev_324;appt_926;3;02/01/2025
rev_325;appt_55;3;02/01/2025
rev_326;appt_1602;1;02/01/2025
rev_327;appt_739;4;02/01/2025
rev_328;appt_1050;1;02/01/2025
rev_329;appt_1465;2;02/01/2025
rev_330;appt_765;3;02/01/2025
rev_331;appt_1221;2;02/01/2025
rev_332;appt_642;4;02/01/2025
rev_333;appt_1267;4;02/01/2025
rev_334;appt_1848;5;02/01/2025
rev_335;appt_724;2;02/01/2025
rev_336;appt_1214;1;02/01/2025
rev_337;appt_802;2;02/01/2025
rev_338;appt_738;3;02/01/2025
rev_339;appt_758;4;02/01/2025
rev_340;appt_1592;4;02/01/2025
rev_341;appt_567;2;02/01/2025
rev_342;appt_1300;2;02/01/2025
rev_343;appt_1842;2;02/01/2025
rev_344;appt_1433;3;02/01/2025
rev_345;appt_340;3;02/01/2025
rev_346;appt_153;1;02/01/2025
rev_347;appt_1589;2;02/01/2025
rev_348;appt_1422;1;02/01/2025
rev_349;appt_1468;5;02/01/2025
rev_350;appt_1647;3;02/01/2025
rev_351;appt_1004;4;02/01/2025
rev_352;appt_427;5;02/01/2025
rev_353;appt_1003;4;02/01/2025
rev_354;appt_1982;5;02/01/2025
rev_355;appt_1511;1;02/01/2025
rev_356;appt_204;1;02/01/2025
rev_357;appt_1136;3;02/01/2025
rev_358;appt_325;4;02/01/2025
rev_359;appt_1983;5;02/01/2025
rev_360;appt_1282;2;02/01/2025
rev_361;appt_950;2;02/01/2025
rev_362;appt_1552;3;02/01/2025
rev_363;appt_951;4;02/01/2025
rev_364;appt_1374;2;02/01/2025
rev_365;appt_939;3;02/01/2025
rev_366;appt_957;3;02/01/2025
rev_367;appt_1702;4;02/01/2025
rev_368;appt_1837;2;02/01/2025
rev_369;appt_894;2;02/01/2025
rev_370;appt_435;2;02/01/2025
rev_371;appt_1450;1;02/01/2025
rev_372;appt_1304;2;02/01/2025
rev_373;appt_371;5;02/01/2025
rev_374;appt_1694;1;02/01/2025
rev_375;appt_933;1;02/01/2025
rev_376;appt_249;1;02/01/2025
rev_377;appt_891;1;02/01/2025
rev_378;appt_181;3;02/01/2025
rev_379;appt_703;5;02/01/2025
rev_380;appt_999;4;02/01/2025
rev_381;appt_1675;2;02/01/2025
rev_382;appt_78;1;02/01/2025
rev_383;appt_919;4;02/01/2025
rev_384;appt_885;3;02/01/2025
rev_385;appt_336;4;02/01/2025
rev_386;appt_50;1;02/01/2025
rev_387;appt_85;5;02/01/2025
rev_388;appt_1719;4;02/01/2025
rev_389;appt_695;1;02/01/2025
rev_390;appt_4;1;02/01/2025
rev_391;appt_993;2;02/01/2025
rev_392;appt_1974;2;02/01/2025
rev_393;appt_317;5;02/01/2025
rev_394;appt_1135;2;02/01/2025
rev_395;appt_1358;5;02/01/2025
rev_396;appt_1875;3;02/01/2025
rev_397;appt_763;3;02/01/2025
rev_398;appt_1157;2;02/01/2025
rev_399;appt_612;3;02/01/2025
rev_400;appt_1005;4;02/01/2025
rev_401;appt_914;4;02/01/2025
